App Name,Downloads/M 的總和,Last Update Date,rate 的總和,Release Date,Revenue/M 的總和
100 Years - Life Simulator,300000,2024-06-06 00:00:00 UTC,0.00333333333333333,2021-05-05 00:00:00 UTC,1000
2 THE MOON,20000,2024-05-17 00:00:00 UTC,0.05,2021-05-24 00:00:00 UTC,1000
2048 Balls 3D,1000,2025-01-28 00:00:00 UTC,1,2019-12-21 00:00:00 UTC,1000
2048 Zen Cards,1000,2022-10-19 00:00:00 UTC,1,2018-06-14 00:00:00 UTC,1000
Air Defence 3D,9000,2024-05-22 00:00:00 UTC,0.111111111111111,2023-01-12 00:00:00 UTC,1000
Airborne Attack,200000,2025-04-17 00:00:00 UTC,0.005,2023-07-28 00:00:00 UTC,1000
Animal Adventures,1000,2024-07-11 00:00:00 UTC,1,2024-07-01 00:00:00 UTC,1000
Animal Rescue 3D,1000,2022-11-02 00:00:00 UTC,1,2019-05-06 00:00:00 UTC,1000
Aquapark Universe,1000,2022-10-21 00:00:00 UTC,1,2022-03-13 00:00:00 UTC,1000
aquapark.io,3000000,2025-06-16 00:00:00 UTC,0.000333333333333333,2019-06-14 00:00:00 UTC,1000
Archer Hero 3D,1000,2024-06-02 00:00:00 UTC,1,2020-08-12 00:00:00 UTC,1000
Archery Clash!,2000000,2025-06-11 00:00:00 UTC,0.03,2024-02-05 00:00:00 UTC,60000
Ark O Ball,1000,2017-08-10 00:00:00 UTC,1,"",1000
Army Clash,1000,2020-11-23 00:00:00 UTC,1,2019-08-09 00:00:00 UTC,1000
Backflip Master - Parkour Game,30000,2024-12-28 00:00:00 UTC,0.0333333333333333,2021-11-08 00:00:00 UTC,1000
Ball Blast Cannon blitz mania,600000,2025-06-19 00:00:00 UTC,0.1,2018-09-13 00:00:00 UTC,60000
Ball Mayhem!,8000,2025-04-24 00:00:00 UTC,0.125,2019-01-31 00:00:00 UTC,1000
Ball on Rope,1000,2023-02-21 00:00:00 UTC,1,2022-07-19 00:00:00 UTC,1000
Ball Up: Knife Racing,300000,2025-01-23 00:00:00 UTC,0.00333333333333333,2022-10-26 00:00:00 UTC,1000
Balls Duel,1000,2024-05-20 00:00:00 UTC,1,2021-05-11 00:00:00 UTC,1000
Balls Fall! 3D,1000,2021-12-22 00:00:00 UTC,1,"",1000
Balls Go High,1000,2025-04-17 00:00:00 UTC,1,2022-02-24 00:00:00 UTC,1000
Ball's Journey,1000,2018-11-15 00:00:00 UTC,1,2018-07-04 00:00:00 UTC,1000
Balls Rotate,1000,2019-08-03 00:00:00 UTC,1,2019-04-24 00:00:00 UTC,1000
Baseball Boy!,10000,2025-01-08 00:00:00 UTC,0.1,2018-02-13 00:00:00 UTC,1000
Battery Run,300000,2024-05-24 00:00:00 UTC,0.00333333333333333,2022-01-24 00:00:00 UTC,1000
Battle Z: Idle Attack!,1000,2024-03-05 00:00:00 UTC,1,2024-03-01 00:00:00 UTC,1000
Beach Volley Clash,200000,2025-03-27 00:00:00 UTC,0.005,2023-07-05 00:00:00 UTC,1000
Beauty Race!,1000,2023-02-15 00:00:00 UTC,1,2021-08-25 00:00:00 UTC,1000
Beekeeper,1000,2024-05-26 00:00:00 UTC,1,"",1000
BeReal. Tes amis pour de vrai.,200000,2025-06-23 00:00:00 UTC,0.005,2020-01-21 00:00:00 UTC,1000
Bike Stars,1000,2024-05-25 00:00:00 UTC,1,2021-05-15 00:00:00 UTC,1000
Bikes Hill,1000,2025-03-18 00:00:00 UTC,1,2019-11-20 00:00:00 UTC,1000
Bionics,10000,2025-03-01 00:00:00 UTC,0.1,2024-10-10 00:00:00 UTC,1000
Blast Hero,1000,2021-04-23 00:00:00 UTC,1,2021-09-21 00:00:00 UTC,1000
Blast Valley,1000,2018-11-14 00:00:00 UTC,1,2018-03-27 00:00:00 UTC,1000
Blob Merge 3D,50000,2024-10-08 00:00:00 UTC,0.02,2021-06-30 00:00:00 UTC,1000
